Entity,Code,Year,ag_land_index,labor_index,food_supply_per_capita
Germany,DEU,1973,103.9173,431.8806,4.2074766
Germany,DEU,1974,104.084,424.9544,4.686841
Germany,DEU,1975,104.3015,417.5952,5.036155
Germany,DEU,1976,104.6592,410.2361,2.5714471
Germany,DEU,1977,104.6102,402.4441,3.6509821
Germany,DEU,1978,104.6961,394.652,4.6292286
Germany,DEU,1979,104.5215,386.4271,3.0533373
Germany,DEU,1980,104.268,378.0579,3.1550882
Germany,DEU,1981,103.9963,364.7686,3.5406775
Germany,DEU,1982,103.7184,351.7848,2.6337695
Germany,DEU,1983,103.5737,336.2042,5.6513886
Germany,DEU,1984,103.3868,323.8314,7.91628
Germany,DEU,1985,103.3428,312.2224,8.129542
Germany,DEU,1986,103.2776,297.8638,7.580107
Germany,DEU,1987,103.0083,283.1997,7.504327
Germany,DEU,1988,102.9919,268.9939,7.0615005
Germany,DEU,1989,102.9752,252.3441,6.469379
Germany,DEU,1990,103.1261,242.1098,6.510335
Germany,DEU,1991,98.1248,234.9305,7.7064166
Germany,DEU,1992,97.2802,226.1536,7.256232
Germany,DEU,1993,98.8936,217.5461,6.0617514
Germany,DEU,1994,99.902,208.9166,6.517108
Germany,DEU,1995,100.0995,202.3711,7.5744452
Germany,DEU,1996,100.1164,186.6146,7.015679
Germany,DEU,1997,100.0804,185.2853,6.951082
Germany,DEU,1998,100.4503,176.2888,7.313114
Germany,DEU,1999,99.7933,184.4801,7.2683682
Germany,DEU,2000,99.6024,170.9236,8.325427
Germany,DEU,2001,99.5997,170.476,8.920762
Germany,DEU,2002,99.3851,160.9562,10.912295
Germany,DEU,2003,99.6785,155.4079,9.074386
Germany,DEU,2004,100.166,149.0055,12.690845
Germany,DEU,2005,100.2156,153.9861,12.356731
Germany,DEU,2006,99.8936,150.4081,12.812008
Germany,DEU,2007,100.0725,153.0716,11.437778
Germany,DEU,2008,100.5461,122.7292,10.759042
Germany,DEU,2009,100.6987,115.471,9.079837
Germany,DEU,2010,99.8748,111.6682,9.054534
Germany,DEU,2011,100.1318,113.808,9.9870615
Germany,DEU,2012,99.8266,108.9374,12.814136
Germany,DEU,2013,100.1797,102.0203,12.285398
Germany,DEU,2014,100.1595,101.6134,12.646523
Germany,DEU,2015,100,100,11.988045
Germany,DEU,2016,99.3108,96.3169,10.302773
Germany,DEU,2017,99.3894,94.9075,10.904436
Germany,DEU,2018,99.0646,93.4363,10.789504
Germany,DEU,2019,98.9588,91.0856,6.8803906
India,IND,1961,70.5776,62.3104,7.889136
India,IND,1962,71.3181,63.1304,8.216466
India,IND,1963,71.4574,63.9754,7.844783
India,IND,1964,71.7494,64.8428,8.016125
India,IND,1965,72.1191,65.7312,8.254157
India,IND,1966,72.477,66.6406,7.9335556
India,IND,1967,73.0875,67.5715,10.1756525
India,IND,1968,73.941,68.5255,8.732665
India,IND,1969,74.4928,69.5038,8.543329
India,IND,1970,75.2793,70.5088,11.13385
India,IND,1971,75.7079,71.6908,6.8435545
India,IND,1972,76.4413,72.9027,8.799109
India,IND,1973,77.2555,74.147,7.834757
India,IND,1974,77.8719,75.4273,7.339251
India,IND,1975,78.4483,76.7449,9.36056
India,IND,1976,79.1337,78.101,8.052825
India,IND,1977,79.7495,79.4919,7.442847
India,IND,1978,80.7628,80.9132,7.48201
India,IND,1979,81.4444,82.3575,6.627316
India,IND,1980,81.9618,83.8193,8.054633
India,IND,1981,82.5104,84.7781,7.8244624
India,IND,1982,83.088,85.7378,7.2324905
India,IND,1983,83.477,86.697,8.544669
India,IND,1984,84.2433,87.6555,8.901579
India,IND,1985,84.6797,88.6119,6.8230476
India,IND,1986,85.2813,89.5626,7.6702056
India,IND,1987,85.9652,90.5061,5.6342297
India,IND,1988,86.431,91.4423,8.151019
India,IND,1989,87.216,92.3736,9.2130995
India,IND,1990,87.8393,93.3,7.7860107
India,IND,1991,87.9867,94.9452,6.0124125
India,IND,1992,88.0457,96.5965,6.841053
India,IND,1993,88.2581,98.2965,5.4986997
India,IND,1994,89.1596,99.9183,4.556937
India,IND,1995,89.9112,101.5031,4.7677245
India,IND,1996,90.6715,103.0139,5.6709495
India,IND,1997,91.7543,104.8917,5.5731797
India,IND,1998,92.6194,106.5207,5.811072
India,IND,1999,93.5438,107.723,6.068325
India,IND,2000,94.4353,109.3453,6.078685
India,IND,2001,95.219,111.0758,6.284513
